display_id,zip_url,artist,title,genre,confidence_score,is_match,outlier_reasons,profile
7967520,https://srv.remmex.com/dwnld/release/7725134.zip?mp3,Blondie Bee,Promise Me (Nu Ground Foundation Classic Vocal MIx),house,35.7,no,low_confidence,orbit_core
7967520,https://srv.remmex.com/dwnld/release/7725134.zip?mp3,Blondie Bee,Promise Me (Nu Ground Foundation Intense Dub Mix),house,35.7,no,low_confidence,orbit_core
7967332,https://srv.remmex.com/dwnld/release/7724946.zip?mp3,Bon Yerardo,Musical Journey Around (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967535,https://srv.remmex.com/dwnld/release/7725149.zip?mp3,Brewer & Butler,Whompa Chompa (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967548,https://srv.remmex.com/dwnld/release/7725162.zip?mp3,"Bugs, Cyrano",Not Too Much (Original Mix),house,35.7,no,low_confidence,orbit_core
7967652,https://srv.remmex.com/dwnld/release/7725266.zip?mp3,CREDI,The Road (Adam Husa Remix),house,35.7,no,low_confidence,orbit_core
7967587,https://srv.remmex.com/dwnld/release/7725201.zip?mp3,Callor,Vamo (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967588,https://srv.remmex.com/dwnld/release/7725202.zip?mp3,Calpaina3,Horizon (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967598,https://srv.remmex.com/dwnld/release/7725212.zip?mp3,Cassy D,All The Way (Nu Ground Foundation Gin Fizz Dub Mix),house,35.7,no,low_confidence,orbit_core
7967598,https://srv.remmex.com/dwnld/release/7725212.zip?mp3,Cassy D,All The Way (Nu Ground Foundation Sweetest Instrumental Cut Mix),house,35.7,no,low_confidence,orbit_core
7967598,https://srv.remmex.com/dwnld/release/7725212.zip?mp3,Cassy D,All The Way (Nu Ground Foundation Sweetest Vocal Mix),house,35.7,no,low_confidence,orbit_core
7967602,https://srv.remmex.com/dwnld/release/7725216.zip?mp3,Cemini,Feel (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967602,https://srv.remmex.com/dwnld/release/7725216.zip?mp3,Cemini,Relax (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967608,https://srv.remmex.com/dwnld/release/7725222.zip?mp3,Chantelle Marquez,One More Night (Original Mix),house,35.7,no,low_confidence,orbit_core
7967610,https://srv.remmex.com/dwnld/release/7725224.zip?mp3,Charles Ramirez,Loca (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967632,https://srv.remmex.com/dwnld/release/7725246.zip?mp3,Chris.L,Get Down (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967633,https://srv.remmex.com/dwnld/release/7725247.zip?mp3,"Chriss (H), L.Matthew (H)",Weekend (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Club Therapy,Blue Eyes Monster (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967643,https://srv.remmex.com/dwnld/release/7725257.zip?mp3,"Club Therapy, 未知 (Wèi Zhī)",Scordare (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967644,https://srv.remmex.com/dwnld/release/7725258.zip?mp3,Club Will,Summer Haze (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967645,https://srv.remmex.com/dwnld/release/7725259.zip?mp3,Cody Currie,Complicated (Original Mix),house,35.7,no,low_confidence,orbit_core
