label_candidate,track_count,example_source_url,notes
CLERGY,1,https://youtu.be/wg88tE9G9PA,bracket suffix in track title only
Itiswhatitis,1,https://youtube.com/watch?v=biduIU2zzTA,bracket suffix in track title only
AMTK004,1,https://youtube.com/watch?v=8o2BHkWvXZc,bracket suffix in track title only
non005,1,https://youtube.com/watch?v=tqIWAdqbirY,bracket suffix in track title only
Vanila 004,1,https://youtube.com/watch?v=tU1pvxeqBy8,bracket suffix in track title only
Fondation Sonore 02,1,https://youtu.be/THLQR4v2EmA,bracket suffix in track title only
F//001,1,https://youtu.be/A15MoDltDOc,bracket suffix in track title only
ENEMY032,1,https://youtube.com/watch?v=sIJj31Sf3Os,bracket suffix in track title only
NE24,1,https://youtube.com/watch?v=DQ7a2yU7fYg,bracket suffix in track title only
TRUNCATE13,1,https://youtube.com/watch?v=BZslFrEggJg,bracket suffix in track title only
REFLEKT008,1,https://youtu.be/apDLpE9YYfQ,bracket suffix in track title only
TOKEN69,1,https://youtu.be/Z2UGT-X6lBg,bracket suffix in track title only
DRH036,1,https://youtu.be/PCBJrG-Z4C4,bracket suffix in track title only
CRG003,1,https://youtu.be/h0tzBpYnEdc,bracket suffix in track title only
DREF025,1,https://youtube.com/watch?v=p8KGoMAka1o,bracket suffix in track title only
RYC007,1,https://youtube.com/watch?v=GKlOQ13eZZk,bracket suffix in track title only
SPAZIO002,1,https://youtube.com/watch?v=nezWnYB0ZHE,bracket suffix in track title only
EE10,1,https://youtube.com/watch?v=J8HVrrsYXyE,bracket suffix in track title only
GR008,1,https://youtube.com/watch?v=NEXnDKy2APE,bracket suffix in track title only
Mord 015,1,https://youtu.be/x40lldF_AgE,bracket suffix in track title only
Big & Dirty Recordings,1,https://youtube.com/watch?v=saupV2KuUY8,bracket suffix in track title only
BLEED005,1,https://youtube.com/watch?v=Co1_PmAroTQ,bracket suffix in track title only
VOI007,1,https://youtube.com/watch?v=0I9kzAILRsE,bracket suffix in track title only
WU43,1,https://youtu.be/JS62fcy6BLE,bracket suffix in track title only
MDG006X,1,https://youtube.com/watch?v=81JNjYl-yAI,bracket suffix in track title only
DRH051,1,https://youtube.com/watch?v=EVSWO7TCa8o,bracket suffix in track title only
Alien Rain 2014,1,https://youtu.be/cXv3TmhVR4w,bracket suffix in track title only
TSU030,1,https://youtu.be/O8Kuo5yfj5c,bracket suffix in track title only
Overlee Assembly 005,1,https://youtube.com/watch?v=rnlsbJEjeqM,bracket suffix in track title only
CRF003,1,https://youtube.com/watch?v=nfUiQ2OBAb0,bracket suffix in track title only
T2XS302,1,https://youtube.com/watch?v=xZ6dL4W1I1Q,bracket suffix in track title only
DM3D014,1,https://youtube.com/watch?v=u9W5uyrBQY8,bracket suffix in track title only
MDG009,1,https://youtube.com/watch?v=aNTLZqo5fnM,bracket suffix in track title only
Track 10,1,https://youtube.com/watch?v=PXS9eFF2Egw,bracket suffix in track title only
Stroboscopic Artefacts SAM016,1,https://youtu.be/_AKRX88lDbk,bracket suffix in track title only
TOKEN55,1,https://youtu.be/ZyZPNh5xJU0,bracket suffix in track title only
WOLS006,1,https://youtu.be/JAPBz_jmLLo,bracket suffix in track title only
CTSP027,1,https://youtu.be/suerC7wT1Uk,bracket suffix in track title only
GENESA006V,1,https://youtu.be/6iXFgkhNbF8,bracket suffix in track title only
TOKEN54,1,https://youtube.com/watch?v=dgAohdz8Np0,bracket suffix in track title only
TORTURED RECORDINGS,1,https://youtube.com/watch?v=9LJ93C4EZ3A,bracket suffix in track title only
Mote-Evolver 041,1,https://youtube.com/watch?v=CVLjIM90dQ4,bracket suffix in track title only
OCS 005,1,https://youtu.be/SvJmFr52NgE,bracket suffix in track title only
ITS013,1,https://youtube.com/watch?v=goJtpf0cPCQ,bracket suffix in track title only
Mord 012,1,https://youtube.com/watch?v=KQMaFI_06mI,bracket suffix in track title only
KW013,1,https://youtu.be/WG_zQyL3Dfs,bracket suffix in track title only
The House Music Anthem,1,https://youtube.com/watch?v=QAR8cq5Bl94,bracket suffix in track title only
a+w VI,1,https://youtube.com/watch?v=uJlJRu7EOAY,bracket suffix in track title only
Code Is Law 011,1,https://youtu.be/c43ZcAj4uL8,bracket suffix in track title only
T/W/B,1,https://youtube.com/watch?v=TBLUtbqP1lw,bracket suffix in track title only
47006,1,https://youtube.com/watch?v=EhdkKmR2IWg,bracket suffix in track title only
ARTS COLLECTIVE004,1,https://youtu.be/snvQTKYubFg,bracket suffix in track title only
BP-R02,1,https://youtu.be/0T_wA45xjO4,bracket suffix in track title only
WOLS 005,1,https://youtube.com/watch?v=u2BLm3lNqBQ,bracket suffix in track title only
TRESOR291,1,https://youtube.com/watch?v=VrrpsZRpk4s,bracket suffix in track title only
ENEMY RECORDS vs ARTS,1,https://youtu.be/NQteIMdYFmk,bracket suffix in track title only
ICR006,1,https://youtu.be/-IKF2BlaIPE,bracket suffix in track title only
MAGIC POWER,1,https://youtu.be/fj2pBAKnjj4,bracket suffix in track title only
TOKEN27,1,https://youtube.com/watch?v=ap514Ygpf6c,bracket suffix in track title only
TRESOR289,1,https://youtu.be/6hYV7fQudyA,bracket suffix in track title only
INV008,1,https://youtu.be/O-RR3zTUwJs,bracket suffix in track title only
Lost Somehow Edit,1,https://youtu.be/pRtiUwSfxms,bracket suffix in track title only
Valence,1,https://youtube.com/watch?v=PjoKdiA40zU,bracket suffix in track title only
K001,1,https://youtube.com/watch?v=k4cppaNphsA,bracket suffix in track title only
LACK011,1,https://youtube.com/watch?v=wmWc4_CXo1c,bracket suffix in track title only
Hospital Productions 2012,1,https://youtu.be/tVn_Wj6vtrI,bracket suffix in track title only
SPAZIO006,1,https://youtube.com/watch?v=B864RFKLg0Y,bracket suffix in track title only
TOKEN40,1,https://youtu.be/_NRbagWE9us,bracket suffix in track title only
Mord 022,1,https://youtube.com/watch?v=nNBODPbNzNk,bracket suffix in track title only
GENESA008VB,1,https://youtu.be/FH1PPg_VYzg,bracket suffix in track title only
Code Is Law 009,1,https://youtu.be/kbkIeMavsNs,bracket suffix in track title only
π,1,https://soundcloud.com/pielectronics/vofa-p014,bracket suffix in track title only
Reclaim Your City 005,1,https://youtu.be/Fk5CW3GldfU,bracket suffix in track title only
AFU LIMITED,1,https://youtube.com/watch?v=woZNvdc2Kis,bracket suffix in track title only
PRRUKLTDGW,1,https://youtube.com/watch?v=2kWoqKvoac4,bracket suffix in track title only
tresor,1,https://youtube.com/watch?v=8YOnAMQRmEE,bracket suffix in track title only
Official Music Video | Ostgut Ton,1,https://youtu.be/2KtTOhDLfug,bracket suffix in track title only
BIRDIE005,1,https://youtu.be/tjHiwQRqtUU,bracket suffix in track title only
KILLEKILL 012,1,https://youtube.com/watch?v=zH--JfMDzxQ,bracket suffix in track title only
LNTHN007,1,https://youtube.com/watch?v=L_0sw4nua_0,bracket suffix in track title only
TOKEN43,1,https://youtube.com/watch?v=nfD3bbF2q10,bracket suffix in track title only
WEEKEND CIRCUIT,1,https://youtube.com/watch?v=7jqRUUJaoFw,bracket suffix in track title only
Honey Soundsystem,1,https://youtu.be/iqt8IhINNfU,bracket suffix in track title only
SRX006,1,https://youtube.com/watch?v=r9aHdYegTsU,bracket suffix in track title only
MODUL,1,https://youtube.com/watch?v=FvdxduMu7Kc,bracket suffix in track title only
PH50RMX,1,https://youtube.com/watch?v=9gAcMKCVg2s,bracket suffix in track title only
UNBALANCE008,1,https://youtube.com/watch?v=bsO8Lcoh88I,bracket suffix in track title only
HPX65,1,https://youtu.be/Ba_xtBCEIXo,bracket suffix in track title only
