track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
28,Robert Hood,And Then We Planned Our Escape,Etapp Kyle,4676,Berghain Music,2016-02-01,Etapp Kyle,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Rolando <3 genius,6446,Berghain Music,2015-06-15,Rolando <3 genius,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Escaping from Somewhen Monday morning 8 AM,7419,Berghain Music,2015-01-26,Escaping from Somewhen Monday morning 8 AM,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Klock,8594,Berghain Music,2014-07-22,Klock,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Barker & Ben Klock,8784,Berghain Music,2014-06-16,Barker & Ben Klock,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Ben Klock,9234,Berghain Music,2014-03-24,Ben Klock,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,Mano le Tough,9239,Berghain Music,2014-03-24,Mano le Tough,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,DVS1!,9849,Berghain Music,2013-12-15,DVS1!,high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,XDB also works on -5,18424,Panorama Bar Music,2013-09-21,"XDB
also works on -5",high,extracted from post message only
28,Robert Hood,And Then We Planned Our Escape,RNDM pitched down -5,18780,Panorama Bar Music,2013-05-27,"RNDM
pitched down  -5",high,extracted from post message only
33,Kamera,Consignia (Truncate Remix) [PHANTASY],RØDHÅD,35,Berghain Music,2017-08-07,RØDHÅD,high,extracted from post message only
33,Kamera,Consignia (Truncate Remix) [PHANTASY],Len Faki,391,Berghain Music,2017-06-20,Len Faki,high,extracted from post message only
34,Donato Dozzy,Gol [DZR-000],Taku Hirayama,36,Berghain Music,2017-08-07,Taku Hirayama,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),>> Kyle Geiger ... Right now,37,Berghain Music,2017-08-07,>> Kyle Geiger ... Right now,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Kyle Geiger,40,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Norman Nodge,371,Berghain Music,2017-06-26,Norman Nodge,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),LUCY [•],997,Berghain Music,2017-04-10,LUCY [•],high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Lucy,1030,Berghain Music,2017-04-10,Lucy,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),> Noirman Nodge,1539,Berghain Music,2017-02-06,> Noirman Nodge,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Intro Norman Nodge,1857,Berghain Music,2017-01-02,Intro Norman Nodge,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Ateq,2052,Berghain Music,2016-12-04,Ateq,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),LA-4A,7479,Berghain Music,2015-01-19,LA-4A,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Kyle.Geiger,7645,Berghain Music,2014-12-31,Kyle.Geiger,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Lucy. so so good,10243,Berghain Music,2013-09-30,Lucy. so so good,high,extracted from post message only
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),Henning Baer,10613,Berghain Music,2013-07-15,Henning Baer,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Kyle Geiger,38,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Barker,291,Berghain Music,2017-07-03,Barker,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Somewhen,3411,Berghain Music,2016-07-04,Somewhen,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Kyle Geiger,5827,Berghain Music,2015-09-02,Kyle Geiger,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Norman Nodge Hugo Bls this one is for you,6931,Berghain Music,2015-03-31,"Norman Nodge

Hugo Bls this one is for you",high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Fiedel,7604,Berghain Music,2015-01-03,Fiedel,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Fiedel,8448,Berghain Music,2014-08-18,Fiedel,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Barker. Does someone know the melodic track he played before?,8791,Berghain Music,2014-06-16,"Barker.

Does someone know the melodic track he played before?",medium,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Fiedel new years day,9764,Berghain Music,2014-01-02,Fiedel new years day...,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),Benjamin Damage,10471,Berghain Music,2013-08-18,Benjamin Damage,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),ACR,10587,Berghain Music,2013-07-23,ACR,high,extracted from post message only
36,Shed,Boom Room (Ostgut Ton),jerome sydenham killing it,11327,Berghain Music,2012-12-30,jerome sydenham killing it,high,extracted from post message only
39,Dyad,Zou,Kyle Geiger,42,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
39,Dyad,Zou,Konstantin 💣,1081,Berghain Music,2017-04-01,Konstantin 💣,high,extracted from post message only
39,Dyad,Zou,Kyle Geiger,1409,Berghain Music,2017-02-20,Kyle Geiger,high,extracted from post message only
39,Dyad,Zou,Kyle Geiger,3325,Berghain Music,2016-07-11,Kyle Geiger,high,extracted from post message only
39,Dyad,Zou,Kyle Geiger,4933,Berghain Music,2016-01-03,Kyle Geiger,high,extracted from post message only
39,Dyad,Zou,Markus Suckut,5475,Berghain Music,2015-10-26,Markus Suckut,high,extracted from post message only
39,Dyad,Zou,Kangding Ray,5544,Berghain Music,2015-10-19,Kangding Ray,high,extracted from post message only
40,Perc,Look What Your Love Has Done To Me (Perc Trax),Kyle Geiger,43,Berghain Music,2017-08-07,Kyle Geiger,high,extracted from post message only
40,Perc,Look What Your Love Has Done To Me (Perc Trax),Vincent Neumann... and the crowd goes boom!,264,Berghain Music,2017-07-09,Vincent Neumann... and the crowd goes boom!,high,extracted from post message only
40,Perc,Look What Your Love Has Done To Me (Perc Trax),Barker 🙌🏻,272,Berghain Music,2017-07-06,Barker 🙌🏻,high,extracted from post message only
40,Perc,Look What Your Love Has Done To Me (Perc Trax),Insolate,363,Berghain Music,2017-06-26,Insolate,high,extracted from post message only
42,Boston 168,Even The Day,Rodhad,45,Berghain Music,2017-08-06,Rodhad,high,extracted from post message only
42,Boston 168,Even The Day,Ron Albrecht 6 am,728,Berghain Music,2017-05-08,Ron Albrecht 6 am,high,extracted from post message only
42,Boston 168,Even The Day,Rødhåd,2988,Berghain Music,2016-08-22,Rødhåd,high,extracted from post message only
42,Boston 168,Even The Day,Fanon Flowers L,5589,Berghain Music,2015-10-11,"Fanon Flowers
L",high,extracted from post message only
42,Boston 168,Even The Day,Len Faki,5700,Berghain Music,2015-09-21,Len Faki,high,extracted from post message only
43,Radial,Asiel,Rodhad,46,Berghain Music,2017-08-06,Rodhad,high,extracted from post message only
43,Radial,Asiel,Tadeo,2252,Berghain Music,2016-11-14,Tadeo,high,extracted from post message only
43,Radial,Asiel,Tadeo,2257,Berghain Music,2016-11-13,Tadeo,high,extracted from post message only
43,Radial,Asiel,Emmanuel,2944,Berghain Music,2016-08-28,Emmanuel,high,extracted from post message only
