track_id,track_artist,track_title,count,first_seen,last_seen,source_url,notes
109,Robert Hood,I Am [DKMNTL050],2,2017-06-27,2017-07-24,https://youtube.com/watch?v=ngS9a5qQ0LM,drOpped-iN historical import (2010-2017)
110,Woo York,Ancient Light,1,2017-07-24,2017-07-24,https://youtube.com/watch?v=bskgCewTrlw,drOpped-iN historical import (2010-2017)
112,Paul Kalkbrenner,Gia 2000,3,2013-04-02,2017-07-23,https://youtube.com/watch?v=Htme9r3VGX4,drOpped-iN historical import (2010-2017)
113,Thomas P. Heckmann,Himmel  Hoelle,4,2017-04-17,2017-07-23,https://youtube.com/watch?v=kqO9kb8R9cI,drOpped-iN historical import (2010-2017)
116,Push,"Universal Nation (Original 12"" Mix)",3,2017-07-10,2017-07-23,https://youtube.com/watch?v=ZnBeTPpr98g,drOpped-iN historical import (2010-2017)
118,Exium,Human Element [MORD017],1,2017-07-23,2017-07-23,https://youtube.com/watch?v=OR-FHh5pjqY,drOpped-iN historical import (2010-2017)
119,Elektrochemie LK,Schall,1,2017-07-23,2017-07-23,https://youtu.be/qtUW27MbrPo,drOpped-iN historical import (2010-2017)
120,Regal,Rem [INV014],3,2017-05-28,2017-07-23,https://youtu.be/GP7EE3LQlsE,drOpped-iN historical import (2010-2017)
121,Moby,Hymn (European Mix) 1994,7,2016-01-03,2017-07-23,https://youtu.be/m3CMN_OlLe4,drOpped-iN historical import (2010-2017)
122,Air Liquide,This is not a mindtrip,7,2011-02-28,2017-07-23,https://youtube.com/watch?v=xVDMjAyAST4,drOpped-iN historical import (2010-2017)
123,Rod,Hor [KW19],11,2017-03-13,2017-07-23,https://youtube.com/watch?v=Bqy24kD74zU,drOpped-iN historical import (2010-2017)
125,Anetha,Acid Train [ANAGRAM007],3,2017-05-29,2017-07-23,https://youtu.be/XHyr6oBu5K8,drOpped-iN historical import (2010-2017)
126,The other people place,Let me be me,11,2011-03-07,2017-07-19,https://youtube.com/watch?v=n5gfgYP2juI,drOpped-iN historical import (2010-2017)
127,Sub Space,Fifteen (Locked Groove 15),2,2013-12-17,2017-07-19,https://youtube.com/watch?v=mnhxibqw9oM,drOpped-iN historical import (2010-2017)
129,Jackmaster Hater,Drum Track,1,2017-07-19,2017-07-19,https://youtube.com/watch?v=MUefs7gIjgM,drOpped-iN historical import (2010-2017)
130,Nathan Fake,'DEGREELESSNESS (feat. Prurient)' (Overmono Remix),1,2017-07-19,2017-07-19,https://youtube.com/watch?v=q-Iozs7_Dfs,drOpped-iN historical import (2010-2017)
131,Dettmann | Klock,Phantom Studies [Ostgut Ton],4,2017-03-05,2017-07-18,https://youtube.com/watch?v=dsiZO6oAekE,drOpped-iN historical import (2010-2017)
132,Norman Nodge,NN 8.0,11,2013-05-06,2017-07-19,https://youtube.com/watch?v=fSKQWsOWn_M,drOpped-iN historical import (2010-2017)
133,Oppenheimer Analysis,The Devil's Dancers,14,2012-05-06,2017-07-18,https://youtube.com/watch?v=caP3tAmMEbc,drOpped-iN historical import (2010-2017)
135,Slam,Vespula (Original Mix),4,2012-11-05,2017-07-18,https://youtu.be/rGpbjo3YVX0,drOpped-iN historical import (2010-2017)
138,Sha-Lor,I'm In Love (Caught Up Version),2,2016-01-04,2017-07-17,https://youtu.be/N5glS4zijEQ,drOpped-iN historical import (2010-2017)
140,Planetary Assault Systems,Dungeon (Ø [Phase] Remix) [MOTE046],9,2016-08-01,2017-07-17,https://youtu.be/L2neMx7XaYk,drOpped-iN historical import (2010-2017)
141,Len Faki,Mekong Delta,1,2017-07-17,2017-07-17,https://youtube.com/watch?v=oY8u0hXU0J8,drOpped-iN historical import (2010-2017)
142,Cleric,Equinox,6,2014-08-24,2017-07-17,https://youtu.be/CY0RUQrdCqw,drOpped-iN historical import (2010-2017)
144,Stranger,Play Some Rave For Me [MONNOM008],5,2016-04-17,2017-07-17,https://youtu.be/HF-IZjj7hhk,drOpped-iN historical import (2010-2017)
145,Steve Poindexter,Computer Madness,12,2011-05-02,2017-07-17,https://youtu.be/WSaanHyWXww,drOpped-iN historical import (2010-2017)
148,F.U.S.E.,Substance Abuse,8,2014-11-19,2017-07-17,https://youtube.com/watch?v=JonuLqgoQI8,drOpped-iN historical import (2010-2017)
150,New Order,Blue Monday,20,2012-12-17,2017-07-17,https://youtu.be/FYH8DsU2WCk,drOpped-iN historical import (2010-2017)
151,Oppenheimer Analysis,The Devil's Dancers,2,2017-03-21,2017-07-17,https://youtube.com/watch?v=5Q9P-R5ifms,drOpped-iN historical import (2010-2017)
152,Paula Temple,Gegen,4,2015-07-11,2017-07-17,https://youtube.com/watch?v=pGump0Bk8to,drOpped-iN historical import (2010-2017)
153,Envoy,Dark Manoeuvres (Slam Remix),2,2017-05-21,2017-07-17,https://youtube.com/watch?v=cyIxFpo4pRE,drOpped-iN historical import (2010-2017)
154,Marcel Dettmann,Corebox (James Ruskin Blueprint Mix),18,2013-09-15,2017-07-17,https://youtu.be/tAnLbIbe1AU,drOpped-iN historical import (2010-2017)
156,Lag,Kontrola (Bas Mooy Remix) [Mord 014],5,2015-12-13,2017-07-17,https://youtu.be/T1S-RRxxIDg,drOpped-iN historical import (2010-2017)
159,DJ HMC,6 AM [HD],18,2013-04-01,2017-07-17,https://youtube.com/watch?v=v-zUs5VLoWU,drOpped-iN historical import (2010-2017)
161,Ontal,Jackhammer [MORD042],1,2017-07-17,2017-07-17,https://youtube.com/watch?v=p1T1dVVl5CY,drOpped-iN historical import (2010-2017)
162,Parallx,Lost In Time [ARTS027],2,2017-04-25,2017-07-17,https://youtube.com/watch?v=eH2r1fz9ydk,drOpped-iN historical import (2010-2017)
163,Traxmen & Eric Martin,Hit It From The Back,7,2015-03-29,2017-07-17,https://youtube.com/watch?v=IFXA5cB9M-0,drOpped-iN historical import (2010-2017)
165,Setaoc Mass,Passive [SK11004],2,2017-06-28,2017-07-17,https://youtube.com/watch?v=6RZJJeAPkCA&t=265s,drOpped-iN historical import (2010-2017)
167,Drexciya,Digital Tsunami,7,2012-11-11,2017-07-17,https://youtube.com/watch?v=jvHDucE6vhM,drOpped-iN historical import (2010-2017)
169,Gypsy Woman (She's Homeless),Crystal Waters - HQ,4,2014-01-21,2017-07-17,https://youtube.com/watch?v=tN6FIac7Wwc,drOpped-iN historical import (2010-2017)
172,Spokesman,Acid Creak [1994],8,2013-02-25,2017-07-16,https://youtube.com/watch?v=R9K8qlGmLXA,drOpped-iN historical import (2010-2017)
173,Jeff Mills,The Bells,20,2013-05-09,2017-07-16,https://youtube.com/watch?v=DwpedKWwS3w,drOpped-iN historical import (2010-2017)
174,EQD,Equalized #005 (B1),21,2011-11-21,2017-07-16,https://youtu.be/4tYwDSQdOU0,drOpped-iN historical import (2010-2017)
176,Teste,The Wipe (5am Synaptic) - Plus 8 Records - 1992,14,2013-10-14,2017-07-16,https://youtu.be/lBCD9a6xJm4,drOpped-iN historical import (2010-2017)
177,Dax J,Zulu Nation,3,2016-09-18,2017-07-16,https://youtube.com/watch?v=DgQpvNPJuow,drOpped-iN historical import (2010-2017)
178,Cleric,Charlatan (Original Mix),2,2016-07-18,2017-07-16,https://youtube.com/watch?v=6s0nJe9nlv4,drOpped-iN historical import (2010-2017)
181,Diego,Live To 9.5,2,2017-01-18,2017-07-16,https://youtu.be/NbC2cLy5KeY,drOpped-iN historical import (2010-2017)
182,Syncom Data,Beyond The Stars (Speedy J Remix),10,2014-03-09,2017-07-16,https://youtube.com/watch?v=cCrcGCwk7C0,drOpped-iN historical import (2010-2017)
183,Kenny Larkin,Dark Disco,3,2014-07-21,2017-07-16,https://youtube.com/watch?v=8ANVijiifwM,drOpped-iN historical import (2010-2017)
184,,Damon Wild ‎- Warchild (adam beyer remix 2),1,2017-07-16,2017-07-16,https://youtube.com/watch?v=enfcYx2q9Xk,drOpped-iN historical import (2010-2017)
186,Regis,Speak To Me,24,2012-02-13,2017-07-16,https://youtu.be/KnuwTrpY2EU,drOpped-iN historical import (2010-2017)
189,Len Faki,BX3 (Techno),7,2010-09-20,2017-07-16,https://youtube.com/watch?v=N-5PqzYgBi8,drOpped-iN historical import (2010-2017)
190,Cleric,Blitz,9,2015-04-01,2017-07-16,https://youtube.com/watch?v=891IsZ7fe-k,drOpped-iN historical import (2010-2017)
191,Digital Express,The Club,7,2014-10-06,2017-07-16,https://youtube.com/watch?v=HGdLkj_KYtk,drOpped-iN historical import (2010-2017)
193,Drax,Amphetamine (1994),3,2017-03-06,2017-07-16,https://youtu.be/oqW2xKjVtMo,drOpped-iN historical import (2010-2017)
