track_artist,track_title,count,post_count,first_seen,last_seen,source_url
The Mole,Lockdown Party (Dj Sprinkles Crossfaderama),9,9,2013-08-03,2015-01-26,https://youtube.com/watch?v=CAjU_6yw2Gs
June,Your Electronic Arms (Official Video),1,1,2015-01-26,2015-01-26,http://youtu.be/Kho302W6_p0
Frankie Goes To Hollywood,RELAX,1,1,2015-01-24,2015-01-24,https://youtube.com/watch?v=kv3AP_qUgIM
,code 718 equinox (henrik schwarz remix) (dixon edit),3,3,2011-01-25,2015-01-19,https://youtube.com/watch?v=sFYZyb7Mhf8
Galaxy 2 Galaxy Hi,Tech Jazz,3,3,2012-03-19,2015-01-19,https://youtube.com/watch?v=tkjDI_9sSz0
IV21 Culoe De Song,The Bright Forest (The Bright Forest EP),1,1,2015-01-19,2015-01-19,http://youtu.be/0odxZ3L2hlI
Konstantin Sibold,Dome,1,1,2015-01-19,2015-01-19,http://youtube.com/watch?v=uMoYgcVLXRc
New Order,Ecstasy,1,1,2015-01-19,2015-01-19,http://youtube.com/watch?v=e3JkqeMIh6Q
Floorplan,Confess [M-Plant],3,3,2014-10-27,2015-01-18,http://youtu.be/Y15HRmztwv0
,Mu-Paris Hilton,3,3,2011-03-28,2015-01-10,https://youtube.com/watch?v=i_5mhO3PeA0
DJ QU,PARTY PEOPLE CLAP (LEVON VINCENT REMIX),1,1,2015-01-10,2015-01-10,https://youtube.com/watch?v=DKrgu28gYqU&spfreload=10
Robert Owens,Bring Down The Walls,1,1,2015-01-08,2015-01-08,http://youtu.be/sFI23fu8baI
Boytronic,Bryllyant,1,1,2015-01-08,2015-01-08,http://youtu.be/7vJJSXTfaTU
Company B,Fascinated,2,2,2015-01-02,2015-01-08,http://youtu.be/B_UgSXVDx5U
José González,The Is How We Walk On The Moon,1,1,2015-01-05,2015-01-05,https://youtube.com/watch?v=K1HNwYR2zWQ
Kim Ann Foxman,Return It,1,1,2015-01-05,2015-01-05,http://youtu.be/JneZys6jU0k
Hercules & Love Affair,Blind (Frankie Knuckles Remix),5,5,2011-02-15,2015-01-05,http://youtu.be/NZ6sLFDUPWg
,Hard corps-Je suis passee(dub mix).wmv,2,2,2012-08-17,2015-01-05,https://youtube.com/watch?v=fl2nYLeip_Q
Brothers (Extended Edit),D.A.F.,2,2,2013-06-18,2015-01-05,http://youtu.be/E0IFhRyuUPE
Subdued Kamel,Helgrillad Kamel (Boss003),1,1,2015-01-04,2015-01-04,https://youtube.com/watch?v=L5zKUQMtfvg
Skatt Bros,"Walk The Night (12"" L.P. Mix HD) 1979",3,3,2014-03-24,2015-01-03,https://youtube.com/watch?v=6Q3PkEjKMLc
DJ Sneak,Evil Wemen,1,1,2015-01-03,2015-01-03,https://youtube.com/watch?v=7sKm1r7l7vc
Matthias Meyer,Infinity,2,2,2011-06-20,2015-01-02,https://youtube.com/watch?v=dgYVtCkm4Mc
Matt Veloce & Terrence Parker,Woman From Moscow (You've Been TP'ed),2,2,2012-04-09,2015-01-02,https://youtube.com/watch?v=B1KqjSIB3tw
Disco,D Beat It 1986 rare Larry Heard!,1,1,2015-01-02,2015-01-02,https://youtube.com/watch?v=s3n3_m_RM6Q
carmen,time to move,1,1,2015-01-02,2015-01-02,https://youtube.com/watch?v=3rvqiSZB4pA
Pépé Bradock,Vermeille,2,2,2014-04-08,2015-01-02,https://youtube.com/watch?v=D2QsbfhpDNw
THE MOLE,Baby You're The One,3,3,2010-12-13,2015-01-02,https://youtube.com/watch?v=X6Ydup3lyGY
Matthew Styles,We Said Nothing,2,2,2011-12-22,2015-01-02,https://youtube.com/watch?v=SC_c1Qw5kp4
,Work Me Goddamit (Remix),1,1,2015-01-01,2015-01-01,https://youtube.com/watch?v=z-5d0A7A2Xc
,Tomaz Vs Filterheadz  Sunshine (D.Ramirez Remix),1,1,2015-01-01,2015-01-01,https://youtube.com/watch?v=L6wLycR8cVU
Andre Bratten,Aegis (Original Mix),2,2,2013-11-11,2014-12-30,https://youtube.com/watch?v=iqQ_ei1uWmQ
Diego Krause,Vertical (UW02),2,2,2014-06-09,2014-12-28,https://youtube.com/watch?v=kxD_4vdJU9k
Coyu,Just Nin (He Cries At Night) (Andre Lodemann Remix),1,1,2014-12-27,2014-12-27,http://youtu.be/8VaEzGi9VPM
,Tieks | Sing that song (Tiga remix),1,1,2014-12-27,2014-12-27,http://youtu.be/9IUgVeY_efk
Nick Holder,Phreaky Phunky,1,1,2014-12-27,2014-12-27,https://youtube.com/watch?v=X76d29cCT4I
,SHORT DICK MAN ( 20 Fingers),1,1,2014-12-25,2014-12-25,https://youtube.com/watch?v=xR2wE1U-8Jk
M83,Run Into Flowers (Jackson Remix),1,1,2014-12-23,2014-12-23,https://youtube.com/watch?v=4HJLh68MSes
Banji Boys,Love thang,1,1,2014-12-23,2014-12-23,https://youtube.com/watch?v=Va6IFx9Ge7I
Ron Trent,The Nature Of Retribution,2,2,2013-10-20,2014-12-23,https://youtube.com/watch?v=bBf0KF5frwA
,"Candido ""Thousand Finger Man"" 1979",5,5,2011-07-16,2014-12-19,https://youtube.com/watch?v=jNg8Ch-hVH0
Kraftwerk,The Telephone Call (Full 12-Inch EP) [1987],1,1,2014-12-18,2014-12-18,https://youtube.com/watch?v=Y-Fcx4SGKqo
Secret Squirrels #2,Track A,4,4,2014-03-20,2014-12-16,https://youtube.com/watch?v=rjlykoLJKhA&index=36&list=LL80NoxccUM5or8INubQYZ9w
Modern Talking,"You're My Heart, You're My Soul",2,2,2014-12-15,2014-12-16,https://youtube.com/watch?v=4kHl4FoK1Ys
Omar S and Ob Ignitt,Wayne County Hill Cop's (Omar S Mix),7,7,2012-03-04,2014-12-15,https://youtube.com/watch?v=XVmql83s43A
Joe,Slope,1,1,2014-12-15,2014-12-15,http://youtu.be/ioIXSdE5K_Y
Barnt,Under His Own Name But Also Sir,1,1,2014-12-15,2014-12-15,https://youtube.com/watch?v=ktky9d4hLLo
Moloko,Sing it back (Herbert's Tasteful Dub),4,4,2012-06-21,2014-12-15,https://youtube.com/watch?v=-JtXZsUlI68
Terrence Parker & Claude Young,Untitled 4 (B2),2,2,2012-12-10,2014-12-15,https://youtube.com/watch?v=XR7D9ofLFrI
Wbeeza,A116,5,5,2011-11-20,2014-12-08,https://youtube.com/watch?v=4RvZULakliE&spfreload=10
,After series Vol. 1,1,1,2014-12-08,2014-12-08,http://youtu.be/jDeCmSEt4DU?list=PLvyj76cXqS2mIjq0uJAhjJZ4QjStwWZQj
Yello Vs. Hardfloor,Vicious Games (Manuel De La Mare Remix),1,1,2014-12-08,2014-12-08,https://youtube.com/watch?v=FHux0oMZ9oQ
Vernon And Dacosta,High Wire EP // Homecoming Music,1,1,2014-12-08,2014-12-08,https://youtube.com/watch?v=_zaH4s9z4yQ
Marco Shuttle,The Vox Attitude,3,3,2014-06-29,2014-12-07,https://youtube.com/watch?v=eDhJtwR6Dj0
&ME,After Dark (Keinemusik - KM023),2,2,2014-10-12,2014-12-07,https://youtube.com/watch?v=MOc5LXeWWcw
thee madkatt courtship,wet wednesday,2,2,2010-11-25,2014-12-04,https://youtube.com/watch?v=ZzmI4G0s2W4
,Grauzone Eisbär (BAT BiPolar Re-edit),1,1,2014-12-02,2014-12-02,https://youtube.com/watch?v=V82cdr3V2BU
Jody Finch,Jack Your big Booty (Darrick Carter No Acid RX),1,1,2014-12-02,2014-12-02,https://youtube.com/watch?v=-xSFHZKoqmw
Jovonn,Keep On Dancin',2,2,2014-10-01,2014-11-27,https://youtube.com/watch?v=bRr5gGUptjY
Dorisburg,Liksom (Boss002),2,2,2014-08-24,2014-11-24,https://youtube.com/watch?v=O4KhKrTHLKI
Syclops,Jump Bugs,5,5,2013-08-25,2014-11-24,https://youtube.com/watch?v=5B129I1nAss
Mendo,Everybody I Got Him (Mr G's Dr. Feelgood Mix),1,1,2014-11-24,2014-11-24,https://youtube.com/watch?v=V6AH-D0UEK4
Detroit Swindle,That Freak Stuff (Original Mix) |Tsuba|,1,1,2014-11-17,2014-11-17,https://youtube.com/watch?v=O85ZPgWDLMc
,Grum // Everytime (Mia Dora Remix),1,1,2014-11-17,2014-11-17,https://youtube.com/watch?v=uxKXuO6caMQ&spfreload=10
