track_no,content_id,artist,title,label,genre,bpm,key
121,84474751,100Hz,B2 The Resin-ator VINYL ONLY ,Curated By Time,Tech House,125.37,Dm
122,796793,Doubtingthomas,B2 Wakarimasen VINYL ONLY ,Gaazol,Deep House,126.0,Ebm
123,136565181,B1 Edine,Back To School VINYL ONLY ,Lets Discult,Minimal,129.99,Em
124,187071147,Diego Krause,Brainwaves VINYL ONLY ,Certain Circles,Tech House,124.98,Gm
125,26880105,C1 Persound,Conspirators Of Pleasure VINYL ONLY ,Unreleased,Minimal,120.0,Em
126,181626833,B2 Liro,Distance VINYL ONLY ,Purple Print,Minimal,128.0,Am
127,234759454,B1 Gabo,Down The Drain (Eddie Richards Remix) VINYL ONLY ,Repeat,Tech House,129.99,G
128,18338350,A2 Supertramp,Goodbye Stranger (Freshim Edita) VINYL ONLY ,Edita Music,House,125.95,Abm
129,124772853,Nick Beringer & Philipp Boston,Greenhill Hook VINYL ONLY ,Certain Circles,Tech House,126.97,Bbm
130,122689357,A2 Latent,Groove Rhythm Machine VINYL ONLY ,Velvet Spirit,Indie Dance,121.72,Cm
131,247621549,Pola,Home Again VINYL ONLY,All Inn,Minimal,124.95,Bbm
132,220601374,Nudge,Howl012.2 VINYL ONLY,Howl,Deep House,122.98,Am
133,69520916,TOFU PRODUCTIONS,I Believe I Need VINYL ONLY,Perlon,Minimal,124.99,Gm
134,104828278,A2 deWaal,Iceshade VINYL ONLY ,Purple Print,Minimal,126.0,Ebm
135,5124682,Tijn,Jazzy Horse VINYL ONLY,EWax,Minimal,120.98,F#m
136,55556979,B1 Kasvo,Karura VINYL ONLY ,Surfaced Trax,Minimal,128.01,Gm
137,81579143,Porter,Keep It VINYL ONLY ,Certain Circles,Tech House,125.98,Dm
138,186364459,Ed Herbst,L'art De Vivre VINYL ONLY ,Certain Circles,Tech House,124.97,Eb
139,180072838,D1 Brawther & Traumer,Melted (feat. Prince Morella) VINYL ONLY ,Berg Audio,Minimal,124.0,Abm
140,213796195,B1 Charonne,Midnight Fluid VINYL ONLY ,Antam Records,Minimal,130.0,Fm
141,196531126,Pola,Old Acquaintance VINYL ONLY,All Inn,Minimal,124.03,Gm
142,174609593,B1 Dean Barred,Parking My Submarine VINYL ONLY ,Subtatic Records,Tech House,124.99,Gm
143,38079654,Kid Only,Recovery,Kase Kool,Tech House,121.99,G
144,219885232,Tecture,Sell Your Body For Integrity VINYL ONLY ,Certain Circles,Tech House,131.98,Dm
145,15068545,Malin Genie,Sense Of Swing,Oscillat Music,Minimal,125.0,Gm
146,162322441,"B1 Felipe Forte, Mike Shannon",Take The High Road VINYL ONLY ,Cynosure,Minimal,126.0,F#m
